Lastname,Firstname,Authorname,JoinedAsBuilder,Affiliation,ORCID
Lange,Johannes Ulf,J.~U.~Lange,False,"Department of Physics, University of Michigan, Ann Arbor, MI 48109, USA",0000-0002-2450-1366
Lange,Johannes Ulf,J.~U.~Lange,False,"University of Michigan, Ann Arbor, MI 48109, USA",0000-0002-2450-1366
Blake,Chris,C.~Blake,False,"Centre for Astrophysics \& Supercomputing, Swinburne University of Technology, P.O. Box 218, Hawthorn, VIC 3122, Australia",0000-0002-5423-5919
Saulder,Christoph,C.~Saulder,False,"Max Planck Institute for Extraterrestrial Physics, Gie\ss enbachstra\ss e 1, 85748 Garching, Germany",0000-0002-0408-5633
Saulder,Christoph,C.~Saulder,False,"Universit\""ats-Sternwarte M\""unchen, Scheinerstra\ss e 1, 81679 Munich, Germany",0000-0002-0408-5633
Jeffrey,Niall,N.~Jeffrey,False,"Department of Physics \& Astronomy, University College London, Gower Street, London, WC1E 6BT, UK",0000-0003-2927-1800
DeRose,Joseph,J.~DeRose,False,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0002-0728-0960
Beltz-Mohrmann,Gillian,G.~Beltz-Mohrmann,False,"Argonne National Laboratory, High-Energy Physics Division, 9700 S. Cass Avenue, Argonne, IL 60439, USA",
Emas,Ni Putu Audita Placida,N.~Emas,False,"Centre for Astrophysics \& Supercomputing, Swinburne University of Technology, P.O. Box 218, Hawthorn, VIC 3122, Australia",
Garcia-Quintero,Cristhian,C.~Garcia-Quintero,False,"Department of Physics, The University of Texas at Dallas, Richardson, TX 75080, USA",0000-0003-1481-4294
Hadzhiyska,Boryana,B.~Hadzhiyska,False,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0002-2312-3121
Hadzhiyska,Boryana,B.~Hadzhiyska,False,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",0000-0002-2312-3121
Heydenreich,Sven,S.~Heydenreich,False,"Department of Astronomy and Astrophysics, UCO/Lick Observatory, University of California, 1156 High Street, Santa Cruz, CA 95064, USA",
Ishak,Mustapha,M.~Ishak,False,"Department of Physics, The University of Texas at Dallas, Richardson, TX 75080, USA",0000-0002-6024-466X
Joudaki,Shahab,S.~Joudaki,False,"Institute of Cosmology and Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth, PO1 3FX, UK",0000-0001-8820-673X
Jullo,Eric,E.~Jullo,False,"Aix Marseille Univ, CNRS, CNES, LAM, Marseille, France",0000-0002-9253-053X
Krolewski,Alex,A.~Krolewski,False,"Department of Physics and Astronomy, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",
Krolewski,Alex,A.~Krolewski,False,"Perimeter Institute for Theoretical Physics, 31 Caroline St. North, Waterloo, ON N2L 2Y5, Canada",
Krolewski,Alex,A.~Krolewski,False,"Waterloo Centre for Astrophysics, University of Waterloo, 200 University Ave W, Waterloo, ON N2L 3G1, Canada",
Leauthaud,Alexie,A.~Leauthaud,False,"Department of Astronomy and Astrophysics, UCO/Lick Observatory, University of California, 1156 High Street, Santa Cruz, CA 95064, USA",0000-0002-3677-3617
Leauthaud,Alexie,A.~Leauthaud,False,"Department of Astronomy and Astrophysics, University of California, Santa Cruz, 1156 High Street, Santa Cruz, CA 95065, USA",0000-0002-3677-3617
Medina Varela,Leonel,L.~Medina-Varela,False,"Department of Physics, The University of Texas at Dallas, Richardson, TX 75080, USA",
Porredon,Anna,A.~Porredon,False,"Institute for Astronomy, University of Edinburgh, Royal Observatory, Blackford Hill, Edinburgh EH9 3HJ, UK",0000-0002-2762-2024
Porredon,Anna,A.~Porredon,False,"Ruhr University Bochum, Faculty of Physics and Astronomy, Astronomical Institute (AIRUB), German Centre for Cosmological Lensing, 44780 Bochum, Germany",0000-0002-2762-2024
Porredon,Anna,A.~Porredon,False,"The Ohio State University, Columbus, 43210 OH, USA",0000-0002-2762-2024
Rossi,Graziano,G.~Rossi,False,"Department of Physics and Astronomy, Sejong University, Seoul, 143-747, Korea",
Ruggeri,Rossana,R.~Ruggeri,False,"Centre for Astrophysics \& Supercomputing, Swinburne University of Technology, P.O. Box 218, Hawthorn, VIC 3122, Australia",0000-0002-0394-0896
Ruggeri,Rossana,R.~Ruggeri,False,"School of Mathematics and Physics, University of Queensland, 4072, Australia",0000-0002-0394-0896
Xhakaj,Enia,E.~Xhakaj,False,"Department of Astronomy and Astrophysics, UCO/Lick Observatory, University of California, 1156 High Street, Santa Cruz, CA 95064, USA",
Yuan,Sihan,S.~Yuan,False,"SLAC National Accelerator Laboratory, Menlo Park, CA 94305, USA",0000-0002-5992-7586
Aguilar,Jessica Nicole,J.~Aguilar,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",
Ahlen,Steven,S.~Ahlen,True,"Physics Dept., Boston University, 590 Commonwealth Avenue, Boston, MA 02215, USA",0000-0001-6098-7247
Brooks,David,D.~Brooks,True,"Department of Physics \& Astronomy, University College London, Gower Street, London, WC1E 6BT, UK",
Claybaugh,Todd,T.~Claybaugh,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",
de la Macorra,Axel ,A.~de la Macorra,True,"Instituto de F\'{\i}sica, Universidad Nacional Aut\'{o}noma de M\'{e}xico,  Cd. de M\'{e}xico  C.P. 04510,  M\'{e}xico",0000-0002-1769-1640
Doel,Peter,P.~Doel,True,"Department of Physics \& Astronomy, University College London, Gower Street, London, WC1E 6BT, UK",
Fanning,Kevin,K.~Fanning,True,"Kavli Institute for Particle Astrophysics and Cosmology, Stanford University, Menlo Park, CA 94305, USA",0000-0003-2371-3356
Fanning,Kevin,K.~Fanning,True,"SLAC National Accelerator Laboratory, Menlo Park, CA 94305, USA",0000-0003-2371-3356
Ferraro,Simone,S.~Ferraro,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-4992-7854
Ferraro,Simone,S.~Ferraro,True,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",0000-0003-4992-7854
Font-Ribera,Andreu,A.~Font-Ribera,True,"Department of Physics \& Astronomy, University College London, Gower Street, London, WC1E 6BT, UK",0000-0002-3033-7312
Font-Ribera,Andreu,A.~Font-Ribera,True,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",0000-0002-3033-7312
Forero-Romero,Jaime E.,J.~E.~Forero-Romero,True,"Departamento de F\'isica, Universidad de los Andes, Cra. 1 No. 18A-10, Edificio Ip, CP 111711, Bogot\'a, Colombia",0000-0002-2890-3725
Forero-Romero,Jaime E.,J.~E.~Forero-Romero,True,"Observatorio Astron\'omico, Universidad de los Andes, Cra. 1 No. 18A-10, Edificio H, CP 111711 Bogot\'a, Colombia",0000-0002-2890-3725
Gaztañaga,Enrique,E.~Gaztañaga,True,"Institut d'Estudis Espacials de Catalunya (IEEC), 08034 Barcelona, Spain",
Gaztañaga,Enrique,E.~Gaztañaga,True,"Institute of Cosmology and Gravitation, University of Portsmouth, Dennis Sciama Building, Portsmouth, PO1 3FX, UK",
Gaztañaga,Enrique,E.~Gaztañaga,True,"Institute of Space Sciences, ICE-CSIC, Campus UAB, Carrer de Can Magrans s/n, 08913 Bellaterra, Barcelona, Spain",
Gontcho A Gontcho,Satya ,S.~Gontcho A Gontcho,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-3142-233X
Juneau,Stephanie,S.~Juneau,True,"NSF NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA",
Kehoe,Robert,R.~Kehoe,True,"Department of Physics, Southern Methodist University, 3215 Daniel Avenue, Dallas, TX 75275, USA",
Kisner,Theodore,T.~Kisner,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-3510-7134
Kremin,Anthony,A.~Kremin,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0001-6356-7424
Landriau,Martin,M.~Landriau,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-1838-8528
Levi,Michael,M.~E.~Levi,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-1887-1018
Manera,Marc,M.~Manera,True,"Departament de F\'{i}sica, Serra H\'{u}nter, Universitat Aut\`{o}noma de Barcelona, 08193 Bellaterra (Barcelona), Spain",0000-0003-4962-8934
Manera,Marc,M.~Manera,True,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",0000-0003-4962-8934
Miquel,Ramon,R.~Miquel,True,"Instituci\'{o} Catalana de Recerca i Estudis Avan\c{c}ats, Passeig de Llu\'{\i}s Companys, 23, 08010 Barcelona, Spain",
Miquel,Ramon,R.~Miquel,True,"Institut de F\'{i}sica d’Altes Energies (IFAE), The Barcelona Institute of Science and Technology, Campus UAB, 08193 Bellaterra Barcelona, Spain",
Moustakas,John,J.~Moustakas,True,"Department of Physics and Astronomy, Siena College, 515 Loudon Road, Loudonville, NY 12211, USA",0000-0002-2733-4559
Mueller,Eva-Maria,E.~Mueller,True,"Department of Physics and Astronomy, University of Sussex, Brighton BN1 9QH, U.K",
Myers,Adam,A.~D.~Myers,True,"Department of Physics \& Astronomy, University  of Wyoming, 1000 E. University, Dept.~3905, Laramie, WY 82071, USA",
Nie,Jundan,J.~Nie,True,"National Astronomical Observatories, Chinese Academy of Sciences, A20 Datun Rd., Chaoyang District, Beijing, 100012, P.R. China",0000-0001-6590-8122
Niz,Gustavo,G.~Niz,True,"Departamento de F\'{i}sica, Universidad de Guanajuato - DCI, C.P. 37150, Leon, Guanajuato, M\'{e}xico",0000-0002-1544-8946
Niz,Gustavo,G.~Niz,True,"Instituto Avanzado de Cosmolog\'{\i}a A.~C., San Marcos 11 - Atenas 202. Magdalena Contreras, 10720. Ciudad de M\'{e}xico, M\'{e}xico",0000-0002-1544-8946
Palanque-Delabrouille,Nathalie,N.~Palanque-Delabrouille,True,"IRFU, CEA, Universit\'{e} Paris-Saclay, F-91191 Gif-sur-Yvette, France",0000-0003-3188-784X
Palanque-Delabrouille,Nathalie,N.~Palanque-Delabrouille,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0003-3188-784X
Poppett,Claire,C.~Poppett,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",
Poppett,Claire,C.~Poppett,True,"Space Sciences Laboratory, University of California, Berkeley, 7 Gauss Way, Berkeley, CA  94720, USA",
Poppett,Claire,C.~Poppett,True,"University of California, Berkeley, 110 Sproul Hall \#5800 Berkeley, CA 94720, USA",
Rezaie,Mehdi,M.~Rezaie,True,"Department of Physics, Kansas State University, 116 Cardwell Hall, Manhattan, KS 66506, USA",0000-0001-5589-7116
Sanchez,Eusebio,E.~Sanchez,True,"CIEMAT, Avenida Complutense 40, E-28040 Madrid, Spain",0000-0002-9646-8198
Schubnell,Michael,M.~Schubnell,True,"Department of Physics, University of Michigan, Ann Arbor, MI 48109, USA",
Schubnell,Michael,M.~Schubnell,True,"University of Michigan, Ann Arbor, MI 48109, USA",
Seo,Hee-Jong,H.~Seo,True,"Department of Physics \& Astronomy, Ohio University, Athens, OH 45701, USA",0000-0002-6588-3508
Silber,Joseph Harry,J.~Silber,True,"Lawrence Berkeley National Laboratory, 1 Cyclotron Road, Berkeley, CA 94720, USA",0000-0002-3461-0320
Sprayberry,David,D.~Sprayberry,True,"NSF NOIRLab, 950 N. Cherry Ave., Tucson, AZ 85719, USA",
Tarlé,Gregory,G.~Tarl\'{e},True,"University of Michigan, Ann Arbor, MI 48109, USA",0000-0003-1704-0781
Vargas Magana,Mariana ,M.~Vargas-Maga\~na,True,"Instituto de F\'{\i}sica, Universidad Nacional Aut\'{o}noma de M\'{e}xico,  Cd. de M\'{e}xico  C.P. 04510,  M\'{e}xico",0000-0003-3841-1836
Wechsler,Risa,R.~H.~Wechsler,True,"Kavli Institute for Particle Astrophysics and Cosmology, Stanford University, Menlo Park, CA 94305, USA",0000-0003-2229-011X
Wechsler,Risa,R.~H.~Wechsler,True,"Physics Department, Stanford University, Stanford, CA 93405, USA",0000-0003-2229-011X
Wechsler,Risa,R.~H.~Wechsler,True,"SLAC National Accelerator Laboratory, Menlo Park, CA 94305, USA",0000-0003-2229-011X
Zhou,Zhimin,Z.~Zhou,True,"National Astronomical Observatories, Chinese Academy of Sciences, A20 Datun Rd., Chaoyang District, Beijing, 100012, P.R. China",0000-0002-4135-0977
Zou,Hu,H.~Zou,True,"National Astronomical Observatories, Chinese Academy of Sciences, A20 Datun Rd., Chaoyang District, Beijing, 100012, P.R. China",0000-0002-6684-3997
